Clube,Camisa,Apelido
America Saf - MG,1,Matheus
America Saf - MG,37,Everaldo
America Saf - MG,44,ADYSON
America Saf - MG,33,Eder
America Saf - MG,11,Felipe Azevedo
America Saf - MG,7,Matheusinho
America Saf - MG,19,H. Almeida
America Saf - MG,9,Wellington Paulista
America Saf - MG,3,Iago
America Saf - MG,45,Ricardo Silva
America Saf - MG,2,Nino Paraiba
America Saf - MG,5,Emmanuel Martinez
America Saf - MG,21,Lucas
America Saf - MG,6,Marlon
America Saf - MG,8,Juninho
America Saf - MG,16,Ale
Fluminense - RJ,1,Fabio
Fluminense - RJ,14,German Cano
Fluminense - RJ,11,Keno
Fluminense - RJ,45,Lima
Fluminense - RJ,4,Vitor Mendes
Fluminense - RJ,20,Gabriel Pirani
Fluminense - RJ,99,Lelê
Fluminense - RJ,5,Alexsander
Fluminense - RJ,23,Guga
Fluminense - RJ,7,André
Fluminense - RJ,9,John Kennedy
Fluminense - RJ,10,PH GANSO
Fluminense - RJ,29,Thiago Santos
Fluminense - RJ,2,Samuel Xavier
Fluminense - RJ,33,Nino
Fluminense - RJ,44,David Braz
America Saf - MG,14,Mateus
America Saf - MG,30,Nicolas
America Saf - MG,87,MIKAEL
America Saf - MG,25,Marcinho
America Saf - MG,77,Adailson
America Saf - MG,22,Danilo
America Saf - MG,17,Gonzalo Mastriani
Fluminense - RJ,22,Pedro Rangel
Fluminense - RJ,32,Isaac
Fluminense - RJ,26,Manoel
Fluminense - RJ,21,Jhon Arias
Fluminense - RJ,19,Alexandre Jesus
Fluminense - RJ,37,Giovanni
Fluminense - RJ,98,Vitor Eudes
Athletico Paranaense - PR,1,Bento
Athletico Paranaense - PR,22,Madson
Athletico Paranaense - PR,88,Christian
Athletico Paranaense - PR,8,Vitor Bueno
Athletico Paranaense - PR,9,Vitor Roque
Athletico Paranaense - PR,92,Pablo
Athletico Paranaense - PR,44,Thiago Heleno
Athletico Paranaense - PR,48,Pedrinho
Athletico Paranaense - PR,17,Hugo Moura
Athletico Paranaense - PR,26,Erick
Athletico Paranaense - PR,35,Romulo
Athletico Paranaense - PR,20,Reinaldo
Athletico Paranaense - PR,34,Pedro Henrique
Athletico Paranaense - PR,3,Ze Ivaldo
Athletico Paranaense - PR,18,Cittadini
Athletico Paranaense - PR,19,Thiago
Goiás - GO,23,Tadeu
Goiás - GO,2,Magno Jose
Goiás - GO,30,Matheus
