NPartida,Clube,Cartao,Punido
1,Flamengo - RJ,Y,253.0
1,Flamengo - RJ,Y,294.0
1,Flamengo - RJ,Y,
2,Botafogo - RJ,Y,129.0
2,Botafogo - RJ,Y,584.0
2,Botafogo - RJ,Y,988.0
2,São Paulo - SP,Y,443.0
2,São Paulo - SP,Y,498.0
3,Palmeiras - SP,Y,509.0
3,Cuiabá Saf - MT,Y,499.0
3,Cuiabá Saf - MT,Y,179.0
3,Cuiabá Saf - MT,Y,709.0
3,Cuiabá Saf - MT,R,282.0
4,Corinthians - SP,Y,257.0
4,Corinthians - SP,Y,258.0
4,Corinthians - SP,Y,
4,Corinthians - SP,Y,924.0
4,Cruzeiro Saf - MG,Y,761.0
4,Cruzeiro Saf - MG,Y,605.0
4,Cruzeiro Saf - MG,Y,606.0
5,Red Bull Bragantino - SP,Y,599.0
5,Red Bull Bragantino - SP,Y,646.0
5,Red Bull Bragantino - SP,Y,425.0
6,Atlético Mineiro - MG,Y,149.0
6,Atlético Mineiro - MG,Y,795.0
6,Atlético Mineiro - MG,Y,335.0
6,Atlético Mineiro - MG,Y,259.0
6,Atlético Mineiro - MG,Y,880.0
6,Atlético Mineiro - MG,Y,803.0
6,Vasco da Gama S.a.f. - RJ,Y,
6,Vasco da Gama S.a.f. - RJ,Y,
6,Vasco da Gama S.a.f. - RJ,Y,
6,Vasco da Gama S.a.f. - RJ,Y,305.0
6,Vasco da Gama S.a.f. - RJ,Y,899.0
7,Grêmio - RS,Y,
7,Grêmio - RS,Y,1030.0
7,Grêmio - RS,Y,
7,Santos - SP,Y,195.0
7,Santos - SP,Y,344.0
7,Santos - SP,Y,1064.0
7,Santos - SP,R,1064.0
8,Athletico Paranaense - PR,Y,799.0
8,Athletico Paranaense - PR,Y,831.0
8,Goiás - GO,Y,89.0
8,Goiás - GO,Y,90.0
8,Goiás - GO,Y,97.0
8,Goiás - GO,Y,98.0
8,Goiás - GO,Y,
8,Goiás - GO,Y,945.0
9,Fortaleza - CE,Y,218.0
9,Fortaleza - CE,Y,341.0
9,Internacional - RS,Y,911.0
10,America Saf - MG,Y,201.0
10,America Saf - MG,Y,395.0
10,America Saf - MG,Y,
10,Fluminense - RJ,Y,1024.0
10,Fluminense - RJ,Y,494.0
11,Fluminense - RJ,Y,687.0
11,Fluminense - RJ,Y,938.0
11,Fluminense - RJ,Y,961.0
11,Athletico Paranaense - PR,Y,228.0
11,Athletico Paranaense - PR,Y,
11,Athletico Paranaense - PR,Y,799.0
12,Vasco da Gama S.a.f. - RJ,Y,630.0
12,Vasco da Gama S.a.f. - RJ,Y,631.0
12,Vasco da Gama S.a.f. - RJ,Y,
12,Vasco da Gama S.a.f. - RJ,Y,305.0
12,Vasco da Gama S.a.f. - RJ,Y,429.0
12,Palmeiras - SP,Y,511.0
12,Palmeiras - SP,Y,320.0
12,Palmeiras - SP,Y,771.0
13,São Paulo - SP,Y,858.0
13,São Paulo - SP,Y,808.0
13,São Paulo - SP,Y,800.0
13,São Paulo - SP,Y,642.0
13,São Paulo - SP,Y,691.0
13,America Saf - MG,Y,201.0
13,America Saf - MG,Y,236.0
13,America Saf - MG,Y,625.0
14,Santos - SP,Y,590.0
14,Santos - SP,Y,195.0
14,Santos - SP,Y,907.0
14,Atlético Mineiro - MG,Y,795.0
14,Atlético Mineiro - MG,Y,394.0
14,Atlético Mineiro - MG,Y,695.0
15,Goiás - GO,Y,623.0
15,Goiás - GO,Y,89.0
15,Goiás - GO,Y,90.0
15,Goiás - GO,Y,97.0
15,Goiás - GO,Y,98.0
15,Goiás - GO,Y,
15,Goiás - GO,Y,526.0
15,Goiás - GO,Y,
15,Corinthians - SP,Y,251.0
15,Corinthians - SP,Y,258.0
16,Cruzeiro Saf - MG,Y,
16,Cruzeiro Saf - MG,Y,328.0
16,Cruzeiro Saf - MG,Y,859.0
16,Cruzeiro Saf - MG,Y,702.0
16,Cruzeiro Saf - MG,R,605.0
16,Cruzeiro Saf - MG,R,606.0
16,Grêmio - RS,Y,1030.0
16,Grêmio - RS,Y,645.0
17,Internacional - RS,Y,756.0
17,Internacional - RS,Y,354.0
17,Internacional - RS,Y,364.0
17,Internacional - RS,Y,1014.0
17,Flamengo - RJ,Y,243.0
18,Fortaleza - CE,Y,218.0
18,Fortaleza - CE,Y,121.0
19,Botafogo - RJ,Y,284.0
19,Botafogo - RJ,Y,584.0
20,Cuiabá Saf - MT,Y,175.0
20,Cuiabá Saf - MT,Y,
20,Cuiabá Saf - MT,Y,697.0
20,Red Bull Bragantino - SP,Y,967.0
20,Red Bull Bragantino - SP,Y,382.0
20,Red Bull Bragantino - SP,Y,646.0
21,Flamengo - RJ,Y,294.0
21,Flamengo - RJ,Y,
21,Flamengo - RJ,Y,172.0
21,Flamengo - RJ,Y,966.0
21,Botafogo - RJ,Y,988.0
21,Botafogo - RJ,Y,284.0
21,Botafogo - RJ,R,852.0
22,Vasco da Gama S.a.f. - RJ,Y,
23,Palmeiras - SP,Y,762.0
23,Palmeiras - SP,Y,
23,Palmeiras - SP,Y,493.0
23,Corinthians - SP,Y,334.0
23,Corinthians - SP,Y,
23,Corinthians - SP,Y,
24,Santos - SP,Y,
24,Santos - SP,Y,195.0
24,Santos - SP,Y,907.0
24,Santos - SP,R,
24,America Saf - MG,Y,30.0
24,America Saf - MG,Y,201.0
24,America Saf - MG,Y,395.0
24,America Saf - MG,Y,236.0
25,Red Bull Bragantino - SP,Y,967.0
25,Red Bull Bragantino - SP,Y,376.0
25,Red Bull Bragantino - SP,R,4.0
25,Cruzeiro Saf - MG,Y,641.0
25,Cruzeiro Saf - MG,Y,859.0
25,Cruzeiro Saf - MG,Y,388.0
26,Atlético Mineiro - MG,Y,238.0
26,Atlético Mineiro - MG,Y,803.0
26,Athletico Paranaense - PR,Y,27.0
26,Athletico Paranaense - PR,R,27.0
27,Internacional - RS,Y,309.0
27,Internacional - RS,Y,133.0
27,Internacional - RS,Y,18.0
27,Internacional - RS,Y,
27,Goiás - GO,R,671.0
28,São Paulo - SP,Y,765.0
29,Fluminense - RJ,Y,
29,Fluminense - RJ,Y,687.0
29,Fluminense - RJ,Y,494.0
30,Cuiabá Saf - MT,Y,179.0
30,Cuiabá Saf - MT,Y,861.0
30,Cuiabá Saf - MT,Y,920.0
30,Cuiabá Saf - MT,Y,923.0
30,Cuiabá Saf - MT,R,419.0
30,Grêmio - RS,Y,95.0
30,Grêmio - RS,Y,
30,Grêmio - RS,Y,1030.0
30,Grêmio - RS,Y,
30,Grêmio - RS,Y,614.0
31,Fluminense - RJ,Y,55.0
31,Fluminense - RJ,Y,272.0
31,Fluminense - RJ,Y,494.0
31,Vasco da Gama S.a.f. - RJ,Y,570.0
31,Vasco da Gama S.a.f. - RJ,Y,621.0
31,Vasco da Gama S.a.f. - RJ,Y,
32,Botafogo - RJ,Y,620.0
32,Botafogo - RJ,Y,622.0
32,Atlético Mineiro - MG,Y,903.0
32,Atlético Mineiro - MG,Y,803.0
32,Atlético Mineiro - MG,Y,931.0
33,São Paulo - SP,Y,684.0
33,São Paulo - SP,Y,312.0
33,São Paulo - SP,Y,1038.0
33,Internacional - RS,Y,911.0
33,Internacional - RS,Y,756.0
33,Internacional - RS,Y,309.0
33,Internacional - RS,Y,638.0
34,Corinthians - SP,Y,258.0
34,Corinthians - SP,Y,
34,Fortaleza - CE,Y,947.0
34,Fortaleza - CE,Y,93.0
35,Goiás - GO,Y,423.0
35,Goiás - GO,Y,89.0
35,Goiás - GO,Y,90.0
35,Goiás - GO,Y,97.0
35,Goiás - GO,Y,98.0
35,Goiás - GO,R,623.0
35,Palmeiras - SP,Y,862.0
35,Palmeiras - SP,Y,223.0
35,Palmeiras - SP,Y,366.0
35,Palmeiras - SP,Y,762.0
35,Palmeiras - SP,Y,493.0
35,Palmeiras - SP,Y,511.0
36,Cruzeiro Saf - MG,Y,1053.0
36,Cruzeiro Saf - MG,Y,605.0
36,Cruzeiro Saf - MG,Y,606.0
36,Cruzeiro Saf - MG,Y,
36,Cruzeiro Saf - MG,Y,
36,Cruzeiro Saf - MG,Y,859.0
36,Santos - SP,Y,632.0
36,Santos - SP,Y,301.0
36,Santos - SP,Y,907.0
37,Grêmio - RS,Y,107.0
37,Grêmio - RS,Y,
37,Grêmio - RS,Y,240.0
37,Grêmio - RS,Y,361.0
37,Grêmio - RS,Y,778.0
37,Grêmio - RS,Y,782.0
37,Red Bull Bragantino - SP,Y,730.0
37,Red Bull Bragantino - SP,Y,1021.0
38,Athletico Paranaense - PR,Y,277.0
38,Athletico Paranaense - PR,Y,228.0
38,Flamengo - RJ,Y,294.0
38,Flamengo - RJ,Y,227.0
39,Bahia - BA,Y,317.0
39,Bahia - BA,Y,287.0
40,America Saf - MG,Y,
40,America Saf - MG,Y,30.0
40,America Saf - MG,Y,700.0
40,America Saf - MG,R,731.0
40,Cuiabá Saf - MT,Y,709.0
40,Cuiabá Saf - MT,Y,
40,Cuiabá Saf - MT,Y,920.0
40,Cuiabá Saf - MT,Y,923.0
40,Cuiabá Saf - MT,Y,19.0
41,Goiás - GO,Y,1007.0
41,Goiás - GO,Y,1008.0
42,Botafogo - RJ,Y,988.0
42,Corinthians - SP,Y,251.0
42,Corinthians - SP,Y,132.0
43,Palmeiras - SP,Y,493.0
43,Palmeiras - SP,Y,511.0
43,Grêmio - RS,Y,307.0
43,Grêmio - RS,Y,748.0
43,Grêmio - RS,Y,107.0
43,Grêmio - RS,Y,1030.0
44,Santos - SP,Y,603.0
44,Santos - SP,Y,632.0
44,Santos - SP,Y,
44,Bahia - BA,Y,785.0
44,Bahia - BA,Y,987.0
44,Bahia - BA,Y,787.0
44,Bahia - BA,Y,
45,Red Bull Bragantino - SP,Y,425.0
45,Red Bull Bragantino - SP,Y,1021.0
45,Red Bull Bragantino - SP,Y,209.0
45,Red Bull Bragantino - SP,Y,206.0
45,Red Bull Bragantino - SP,Y,967.0
45,America Saf - MG,Y,201.0
45,America Saf - MG,Y,236.0
45,America Saf - MG,Y,683.0
46,Cruzeiro Saf - MG,Y,1048.0
46,Fluminense - RJ,Y,249.0
46,Fluminense - RJ,Y,673.0
46,Fluminense - RJ,Y,681.0
46,Fluminense - RJ,Y,961.0
46,Fluminense - RJ,Y,55.0
46,Fluminense - RJ,R,55.0
47,Internacional - RS,Y,405.0
47,Internacional - RS,Y,300.0
47,Athletico Paranaense - PR,Y,78.0
47,Athletico Paranaense - PR,Y,393.0
47,Athletico Paranaense - PR,Y,831.0
47,Athletico Paranaense - PR,Y,1016.0
48,Vasco da Gama S.a.f. - RJ,Y,
49,Fortaleza - CE,Y,336.0
49,Fortaleza - CE,R,218.0
49,São Paulo - SP,Y,312.0
49,São Paulo - SP,Y,858.0
49,São Paulo - SP,Y,38.0
49,São Paulo - SP,R,912.0
50,Cuiabá Saf - MT,Y,697.0
