NPartida,Clube,Apelido,Momento,Nome,Camisa,id
1,Flamengo - RJ,Ayrton Lucas,11' (1ºT),Ayrton Lucas Dantas de Medeiros,6.0,75.0
1,Flamengo - RJ,Gabriel Barbosa,10' (2ºT),Gabriel Barbosa Almeida,10.0,294.0
1,Flamengo - RJ,Pedro,45+4' (2ºT),Pedro Guilherme Abreu dos Santos,9.0,824.0
2,Botafogo - RJ,Carlos,43' (2ºT),Carlos Eduardo de Oliveira Alves,33.0,129.0
2,Botafogo - RJ,Tiquinho,3' (1ºT),Francisco das Chagas Soares dos Santos,9.0,284.0
2,São Paulo - SP,Calleri,16' (1ºT),Jonathan Calleri,9.0,498.0
3,Palmeiras - SP,Endrick,4' (1ºT),Endrick Felipe Moreira de Sousa,9.0,223.0
3,Palmeiras - SP,Lopez,19' (2ºT),Jose Manuel Alberto Lopez,18.0,509.0
3,Cuiabá Saf - MT,Raniele,45+5' (1ºT),Raniele Almeida Melo,14.0,861.0
4,Corinthians - SP,Matheus Araujo,23' (2ºT),Matheus de Araujo Andrade,30.0,724.0
4,Corinthians - SP,Roger Guedes,42' (2ºT),,,
4,Cruzeiro Saf - MG,Lucas Oliveira,45+5' (2ºT),Lucas da Cruz Oliveira,26.0,605.0
4,Cruzeiro Saf - MG,Lucas Oliveira,45+5' (2ºT),Lucas da Cruz Oliveira,6.0,606.0
5,Red Bull Bragantino - SP,Bruninho,8' (2ºT),Bruno Gonçalves de Jesus,17.0,101.0
5,Red Bull Bragantino - SP,Eduardo Sasha,25' (2ºT),Eduardo Colcenti Antunes,19.0,206.0
6,Atlético Mineiro - MG,Muricio Lemos,45+4' (1ºT),Paolo Mauricio Lemos Merladett,28.0,803.0
6,Vasco da Gama S.a.f. - RJ,Andrey Santos,4' (1ºT),,,
6,Vasco da Gama S.a.f. - RJ,Gabriel Pec,10' (1ºT),Gabriel Fortes Chaves,11.0,305.0
7,Grêmio - RS,Joao Pedro,43' (1ºT),Joao Pedro Geraldino dos Santos Galvao,18.0,471.0
7,Grêmio - RS,Joao Pedro,43' (1ºT),Joao Pedro Maturano dos Santos,18.0,472.0
8,Athletico Paranaense - PR,Christian,12' (2ºT),Christian Roberto Alves Cardoso,88.0,143.0
8,Athletico Paranaense - PR,Pedro Henrique,35' (1ºT),Pedro Henrique Ribeiro Goncalves,34.0,831.0
9,Fortaleza - CE,Moises,11' (2ºT),,,
9,Internacional - RS,WANDERSON,8' (2ºT),Wanderson Maciel Sousa Campos,11.0,1032.0
10,Fluminense - RJ,German Cano,6' (2ºT),German Ezequiel Cano,14.0,324.0
10,Fluminense - RJ,Lelê,26' (2ºT),Leanderson da Silva Genesio,99.0,561.0
10,Fluminense - RJ,John Kennedy,14' (2ºT),John Kennedy Batista de Souza,9.0,494.0
11,Fluminense - RJ,Nino,21' (2ºT),Marcilio Florencio Mota Filho,33.0,682.0
11,Fluminense - RJ,Lima,10' (1ºT),Vinicius Moreira de Lima,45.0,1003.0
12,Vasco da Gama S.a.f. - RJ,Pedro Raul,28' (1ºT),,,
12,Vasco da Gama S.a.f. - RJ,Gabriel Pec,39' (1ºT),Gabriel Fortes Chaves,11.0,305.0
