NPartida,Time,Apelido,Momento
1,Flamengo - RJ,Ayrton Lucas,11' (1ºT)
1,Flamengo - RJ,Gabriel Barbosa,10' (2ºT)
1,Flamengo - RJ,Pedro,45+4' (2ºT)
2,Botafogo - RJ,Carlos,43' (2ºT)
2,Botafogo - RJ,Tiquinho,3' (1ºT)
2,São Paulo - SP,Calleri,16' (1ºT)
3,Palmeiras - SP,Endrick,4' (1ºT)
3,Palmeiras - SP,Lopez,19' (2ºT)
3,Cuiabá Saf - MT,Raniele,45+5' (1ºT)
4,Corinthians - SP,Matheus Araujo,23' (2ºT)
4,Corinthians - SP,Roger Guedes,42' (2ºT)
4,Cruzeiro Saf - MG,Lucas Oliveira,45+5' (2ºT)
5,Red Bull Bragantino - SP,Bruninho,8' (2ºT)
5,Red Bull Bragantino - SP,Eduardo Sasha,25' (2ºT)
6,Atlético Mineiro - MG,Muricio Lemos,45+4' (1ºT)
6,Vasco da Gama S.a.f. - RJ,Andrey Santos,4' (1ºT)
6,Vasco da Gama S.a.f. - RJ,Gabriel Pec,10' (1ºT)
7,Grêmio - RS,Joao Pedro,43' (1ºT)
8,Athletico Paranaense - PR,Christian,12' (2ºT)
8,Athletico Paranaense - PR,Pedro Henrique,35' (1ºT)
9,Fortaleza - CE,Moises,11' (2ºT)
9,Internacional - RS,WANDERSON,8' (2ºT)
10,Fluminense - RJ,German Cano,6' (2ºT)
10,Fluminense - RJ,Lelê,26' (2ºT)
10,Fluminense - RJ,John Kennedy,14' (2ºT)
11,Fluminense - RJ,Nino,21' (2ºT)
11,Fluminense - RJ,Lima,10' (1ºT)
12,Vasco da Gama S.a.f. - RJ,Pedro Raul,28' (1ºT)
12,Vasco da Gama S.a.f. - RJ,Gabriel Pec,39' (1ºT)
12,Palmeiras - SP,Artur,17' (2ºT)
12,Palmeiras - SP,Rafael Navarro,45+1' (1ºT)
13,São Paulo - SP,Luciano,20' (1ºT)
13,São Paulo - SP,Marcos Paulo,45+5' (2ºT)
13,São Paulo - SP,Calleri,37' (2ºT)
15,Goiás - GO,Halter,35' (2ºT)
15,Goiás - GO,Apodi,45+4' (2ºT)
15,Goiás - GO,Matheus Peixoto,30' (1ºT)
15,Corinthians - SP,Roger Guedes,16' (1ºT)
16,Cruzeiro Saf - MG,Bruno Rodrigues,19' (2ºT)
17,Internacional - RS,Mauricio,21' (2ºT)
