Nome,Apelido,Clube
Abimael Pereira Maia,Bolt,Corinthians - SP
Adailson Freire Pereira da Silva,Adailson,
Ademir da Silva Santos Junior,Ademir,Bahia - BA
Aderbar Melo dos Santos Neto,Santos,Flamengo - RJ
Aderlan de Lima Silva,Aderlan,Red Bull Bragantino - SP
Adilson dos Anjos Oliveira,Juninho,America Saf - MG
Adriel Guilherme de Moraes,Adriel,Flamengo - RJ
Adriel Vasconcelos Ramos,Adriel,Bahia - BA
Adryan Bezerra Silva,Adryan Silva,Corinthians - SP
Adryelson Shawann Lima Silva,Adryelson,Botafogo - RJ
Adson Ferreira Soares,Adson,
Adyson do Nascimento Soares,ADYSON,America Saf - MG
Agner Moura Izigethy de Souza,Agner,Fluminense - RJ
Agustin Canobbio Graviz,Canobbio,Athletico Paranaense - PR
Agustin Daniel Rossi,ROSSI,Flamengo - RJ
Alan Douglas Borges de Carvalho,Alan,
Alan Javier Franco,Alan Franco,São Paulo - SP
Alan Kardec de Souza Pereira Junior,Alan Kardec,Atlético Mineiro - MG
Alan Patrick Lourenço,Alan Patrick,Internacional - RS
Alan Pereira Empereur,ALAN,Cuiabá Saf - MT
Alan Steven Franco Palma,Alan Franco,Atlético Mineiro - MG
Aldemir dos Santos Ferreira,Ferreira,Grêmio - RS
Alef Mangueira Severino Pereira,Alef Manga,
Alerrandro Barra Mansa Realino de Souza,Alerrandro,Red Bull Bragantino - SP
Alesson dos Santos Batista,Alesson,Goiás - GO
Alex de Oliveira Nascimento,Alex,Santos - SP
Alex Ferreira de Souza Junior,Alex,Bahia - BA
Alex Paulo Menezes Santana,Alex Santana,Athletico Paranaense - PR
Alex Teixeira Santos,Alex Teixeira,Vasco da Gama S.a.f. - RJ
Alexandre de Jesus Jeruzalem Junior,Alexandre Jesus,Tombense - MG
Alexandre Egea,Ale,America Saf - MG
Alexandre Lopes Gomes,Alexandre Lopes,Atlético Mineiro - MG
Alexandre Rodrigues da Silva,Alexandre Pato,São Paulo - SP
Alexandre Zurawski,Alexandre,
Alexsander Cristhian Gomes da Costa,Alexsander,Fluminense - RJ
Alexsandro Amorim de Freitas Filho,Alexsandro,Fortaleza - CE
Alfredo Jose Morelos Avilez,Morelos,Santos - SP
Alison Lopes Ferreira,Alison,Santos - SP
Alisson Euler de Freitas Castro,Alisson,São Paulo - SP
Alisson Santana Lopes da Fonseca,Alisson Santana,Atlético Mineiro - MG
Alix Vinicius de Souza Sampaio,Alix,Atlético - GO
Allan Andrade Elias,Allan,Palmeiras - SP
Allan Aniz Santos da Paixão,Allan,Internacional - RS
Allan Rodrigues de Souza,Allan,Flamengo - RJ
Allano Brendon de Souza Lima,Allano,Goiás - GO
Allyson Aires dos Santos,Allyson,Cuiabá Saf - MT
Aloisio dos Santos Goncalves,Aloisio,America Saf - MG
Aluisio Chaves Ribeiro Moraes Junior,Aluisio,
Anderson de Oliveira da Silva,Anderson,Goiás - GO
Anderson Santos Dias Gomes,ANDERSON,Internacional - RS
Anderson Silva da Paixão,Anderson Paixão,Cruzeiro Saf - MG
André Cardoso da Silva Junior,André Jr.,Red Bull Bragantino - SP
Andre Dhominique Queiroz Santiago da Silva,André Dhominique,Bahia - BA
Andre Henrique da Silva Martins,Andre,Grêmio - RS
Andre Luiz Inacio da Silva,Andre,
André Trindade da Costa Neto,André,Fluminense - RJ
Andreas Samaris,Samaris,Coritiba S.a.f. - PR
Andrey Nascimento dos Santos,Andrey Santos,
Andrey Ramos do Nascimento,Andrey,Coritiba S.a.f. - PR
Angel Rodrigo Romero Villamayor,Angel Romero,Corinthians - SP
Angelo Gabriel Borges Damaceno,Ângelo,
Anthoni Spier Souza,Anthoni,Internacional - RS
Antonio David Souza de Araujo,David,Internacional - RS
Antonio Francisco Moura Neto,Neto,Mirassol - SP
Ariel Felipe Gomes da Rosa,Ariel,Londrina - PR
Arielson Sampaio Galvão,Arielson,
Arthur Augusto de Matos Soares,Arthur,
Arthur de Oliveira Sales,Arthur Sales,
Arthur Gomes Lourenco,Arthur Gomes,Cruzeiro Saf - MG
Arthur Sousa Araujo,ARTHUR SOUSA,Corinthians - SP
Arthur Wenderrosky Sanches,ARTHUR,Fluminense - RJ
Arthur Zanella Koerich,Zanella,Athletico Paranaense - PR
Artur Victor Guimaraes,Artur,Palmeiras - SP
Arturo Erasmo Vidal Pardo,VIDAL,Athletico Paranaense - PR
Athyrson Ferreira Prates,Athyrson,Atlético Mineiro - MG
Ayrton Lucas Dantas de Medeiros,Ayrton Lucas,Flamengo - RJ
Bartolomeu Jacinto Quissanga,Bastos,Botafogo - RJ
Benjamin Kuscevic Jaramillo,BENJAMIN,Coritiba S.a.f. - PR
Bento Matheus Krepski,Bento,Athletico Paranaense - PR
Bernardo da Silva Rocha Valim,Bernardo Valim,Botafogo - RJ
Bernardo Schappo,Bernardo,Fortaleza - CE
Brayan Andres Ceballos Jimenez,Brayan Ceballos,
Brenno Oliveira Fraga Costa,Brenno,
Breno Cascardo Lemos,Breno Lemos,America Saf - MG
Breno de Souza Bidon,Bidon,Corinthians - SP
