Clube,Nome,Apelido,Camisa
Corinthians - SP,Abimael Pereira Maia,Bolt,0
,Adailson Freire Pereira da Silva,Adailson,0
Bahia - BA,Ademir da Silva Santos Junior,Ademir,0
Flamengo - RJ,Aderbar Melo dos Santos Neto,Santos,1
Red Bull Bragantino - SP,Aderlan de Lima Silva,Aderlan,13
America Saf - MG,Adilson dos Anjos Oliveira,Juninho,8
Flamengo - RJ,Adriel Guilherme de Moraes,Adriel,0
Bahia - BA,Adriel Vasconcelos Ramos,Adriel,0
Corinthians - SP,Adryan Bezerra Silva,Adryan Silva,0
Botafogo - RJ,Adryelson Shawann Lima Silva,Adryelson,34
,Adson Ferreira Soares,Adson,0
America Saf - MG,Adyson do Nascimento Soares,ADYSON,44
Fluminense - RJ,Agner Moura Izigethy de Souza,Agner,0
Athletico Paranaense - PR,Agustin Canobbio Graviz,Canobbio,14
Flamengo - RJ,Agustin Daniel Rossi,ROSSI,0
,Alan Douglas Borges de Carvalho,Alan,0
São Paulo - SP,Alan Javier Franco,Alan Franco,28
Atlético Mineiro - MG,Alan Kardec de Souza Pereira Junior,Alan Kardec,0
Internacional - RS,Alan Patrick Lourenço,Alan Patrick,10
Cuiabá Saf - MT,Alan Pereira Empereur,ALAN,33
Atlético Mineiro - MG,Alan Steven Franco Palma,Alan Franco,0
Grêmio - RS,Aldemir dos Santos Ferreira,Ferreira,0
,Alef Mangueira Severino Pereira,Alef Manga,0
Red Bull Bragantino - SP,Alerrandro Barra Mansa Realino de Souza,Alerrandro,9
Goiás - GO,Alesson dos Santos Batista,Alesson,27
Santos - SP,Alex de Oliveira Nascimento,Alex,0
Bahia - BA,Alex Ferreira de Souza Junior,Alex,0
Athletico Paranaense - PR,Alex Paulo Menezes Santana,Alex Santana,0
Vasco da Gama S.a.f. - RJ,Alex Teixeira Santos,Alex Teixeira,7
Tombense - MG,Alexandre de Jesus Jeruzalem Junior,Alexandre Jesus,0
America Saf - MG,Alexandre Egea,Ale,16
Atlético Mineiro - MG,Alexandre Lopes Gomes,Alexandre Lopes,0
São Paulo - SP,Alexandre Rodrigues da Silva,Alexandre Pato,0
,Alexandre Zurawski,Alexandre,0
Fluminense - RJ,Alexsander Cristhian Gomes da Costa,Alexsander,5
Fortaleza - CE,Alexsandro Amorim de Freitas Filho,Alexsandro,0
Santos - SP,Alfredo Jose Morelos Avilez,Morelos,0
Santos - SP,Alison Lopes Ferreira,Alison,5
São Paulo - SP,Alisson Euler de Freitas Castro,Alisson,7
Atlético Mineiro - MG,Alisson Santana Lopes da Fonseca,Alisson Santana,0
Atlético - GO,Alix Vinicius de Souza Sampaio,Alix,0
Palmeiras - SP,Allan Andrade Elias,Allan,0
Internacional - RS,Allan Aniz Santos da Paixão,Allan,0
