,Nome,PTS,J,V,E,D,GP,GC,SG,CA,CV,%
0,Botafogo - RJ,59,28,18,5,5,45,18,27,70,5,70
1,Red Bull Bragantino - SP,52,28,14,10,4,40,24,16,86,3,61
2,Flamengo - RJ,50,28,14,8,6,41,31,10,62,2,59
3,Palmeiras - SP,47,28,13,8,7,42,24,18,80,4,55
4,Athletico Paranaense - PR,45,28,12,9,7,41,32,9,87,4,53
5,Grêmio - RS,44,28,13,5,10,43,40,3,74,5,52
6,Atlético Mineiro - MG,43,28,12,7,9,32,22,10,91,5,51
7,Fortaleza - CE,42,28,12,6,10,33,29,4,79,1,50
8,Fluminense - RJ,42,28,12,6,10,37,35,2,96,10,50
9,São Paulo - SP,38,28,10,8,10,34,29,5,83,5,45
10,Cuiabá Saf - MT,37,28,10,7,11,30,31,-1,77,3,44
11,Internacional - RS,35,28,9,8,11,30,33,-3,87,5,41
12,Bahia - BA,34,28,9,7,12,37,38,-1,71,4,40
13,Cruzeiro Saf - MG,34,28,8,10,10,25,24,1,77,5,40
14,Corinthians - SP,33,28,7,12,9,34,36,-2,69,1,39
15,Goiás - GO,31,28,7,10,11,28,38,-10,82,8,36
16,Vasco da Gama S.a.f. - RJ,30,28,8,6,14,28,39,-11,84,4,35
17,Santos - SP,30,28,8,6,14,31,52,-21,85,8,35
18,Coritiba S.a.f. - PR,20,28,5,5,18,29,59,-30,42,2,23
19,America Saf - MG,19,28,4,7,17,31,57,-26,71,9,22
