NPartida,Jogador
1,3.0
1,75.0
1,243.0
1,104.0
1,325.0
1,581.0
1,966.0
1,406.0
1,239.0
1,986.0
1,253.0
1,294.0
1,824.0
1,
1,
1,1049.0
1,723.0
1,351.0
1,517.0
1,802.0
1,
1,
1,904.0
2,617.0
2,9.0
2,129.0
2,161.0
2,162.0
2,620.0
2,622.0
2,284.0
2,
2,658.0
2,503.0
2,749.0
2,584.0
2,
2,852.0
2,
2,988.0
2,853.0
2,1038.0
2,312.0
2,115.0
2,16.0
2,684.0
2,896.0
2,443.0
2,800.0
2,765.0
2,912.0
2,38.0
2,642.0
2,169.0
2,498.0
2,
2,291.0
2,432.0
2,701.0
2,843.0
2,857.0
2,403.0
2,260.0
2,273.0
2,626.0
2,525.0
2,858.0
2,780.0
2,808.0
2,433.0
3,1051.0
3,771.0
3,366.0
3,981.0
3,223.0
3,
3,511.0
3,252.0
3,213.0
3,72.0
3,85.0
3,509.0
3,655.0
3,320.0
3,890.0
3,690.0
3,1031.0
3,419.0
3,718.0
3,499.0
3,790.0
3,861.0
3,45.0
3,179.0
3,281.0
3,221.0
3,416.0
3,697.0
3,
3,
3,282.0
3,709.0
3,679.0
3,356.0
3,447.0
3,535.0
3,
3,533.0
3,591.0
3,453.0
3,19.0
3,
3,1010.0
3,920.0
3,923.0
3,175.0
3,990.0
4,137.0
4,
4,
4,257.0
4,741.0
4,251.0
4,1068.0
4,258.0
4,
4,334.0
4,724.0
4,132.0
4,
4,924.0
4,983.0
4,105.0
4,847.0
4,641.0
4,702.0
4,710.0
4,846.0
4,106.0
4,1048.0
4,761.0
4,328.0
4,1053.0
4,859.0
4,666.0
4,
4,605.0
4,134.0
4,760.0
4,
4,510.0
4,827.0
4,832.0
4,59.0
4,
4,50.0
4,
4,
4,388.0
4,532.0
4,737.0
4,
4,948.0
4,
5,599.0
5,101.0
5,646.0
5,
5,4.0
5,23.0
5,206.0
5,578.0
5,209.0
5,950.0
5,382.0
5,730.0
5,402.0
5,376.0
5,425.0
5,619.0
5,148.0
5,368.0
5,347.0
5,694.0
5,226.0
5,967.0
5,244.0
6,238.0
6,149.0
6,413.0
6,813.0
6,795.0
6,200.0
6,335.0
6,259.0
6,394.0
6,841.0
6,441.0
6,880.0
6,695.0
6,803.0
6,931.0
6,804.0
6,570.0
6,
6,
6,582.0
6,
6,139.0
6,630.0
6,
6,305.0
6,621.0
6,429.0
6,
6,28.0
6,699.0
6,508.0
6,899.0
6,743.0
6,94.0
6,410.0
6,
6,881.0
6,903.0
6,
6,421.0
6,597.0
6,814.0
6,817.0
6,
6,727.0
6,
6,674.0
7,
7,
7,
7,645.0
7,
7,240.0
7,288.0
7,778.0
7,782.0
7,471.0
7,472.0
7,
7,1030.0
7,748.0
7,
7,657.0
7,53.0
7,95.0
7,466.0
7,689.0
7,763.0
7,
7,
7,
7,195.0
7,99.0
7,
7,269.0
7,344.0
7,907.0
7,603.0
7,1064.0
7,632.0
7,766.0
7,
7,
7,355.0
7,363.0
7,505.0
7,774.0
7,107.0
7,614.0
7,1025.0
7,37.0
7,
7,301.0
7,
7,
7,940.0
8,78.0
8,670.0
8,143.0
8,1016.0
8,1022.0
8,799.0
8,964.0
8,
8,393.0
8,228.0
8,918.0
8,
8,831.0
8,
8,
8,962.0
8,949.0
8,671.0
8,
8,89.0
8,97.0
8,
8,
8,1007.0
8,1008.0
8,423.0
8,242.0
8,343.0
8,
8,844.0
8,945.0
8,939.0
8,185.0
8,1056.0
8,580.0
8,
8,275.0
8,
8,728.0
8,1055.0
8,160.0
8,680.0
8,
8,90.0
8,98.0
8,24.0
8,615.0
8,390.0
9,279.0
9,142.0
9,93.0
9,112.0
9,383.0
9,522.0
9,947.0
9,218.0
9,
9,341.0
9,121.0
9,336.0
9,628.0
9,963.0
9,977.0
9,345.0
9,
9,18.0
9,133.0
9,830.0
9,435.0
9,878.0
9,911.0
9,1032.0
9,638.0
9,1014.0
9,
9,
9,405.0
9,919.0
9,458.0
9,354.0
9,364.0
9,755.0
9,
9,678.0
9,1004.0
9,515.0
9,
9,518.0
9,553.0
9,958.0
9,610.0
9,220.0
9,726.0
9,789.0
9,233.0
10,731.0
10,236.0
10,11.0
10,201.0
10,262.0
10,740.0
10,
10,1037.0
10,395.0
10,886.0
10,
10,562.0
10,625.0
10,700.0
10,5.0
10,30.0
10,249.0
10,324.0
10,687.0
10,1003.0
10,1024.0
10,
10,561.0
10,34.0
10,145.0
10,55.0
10,494.0
10,810.0
10,961.0
10,938.0
10,682.0
10,168.0
10,714.0
10,717.0
10,791.0
10,768.0
10,683.0
10,
10,164.0
10,338.0
10,822.0
10,414.0
10,673.0
10,445.0
10,
10,332.0
10,1015.0
11,249.0
11,272.0
11,1024.0
11,324.0
11,494.0
11,445.0
11,682.0
11,810.0
11,561.0
11,687.0
11,
11,938.0
11,34.0
11,55.0
11,1003.0
11,961.0
11,78.0
11,277.0
11,1016.0
11,962.0
11,918.0
11,831.0
11,670.0
11,228.0
11,143.0
11,976.0
11,1022.0
11,964.0
11,
11,799.0
11,
11,393.0
11,822.0
11,145.0
11,332.0
11,673.0
11,414.0
11,
11,168.0
11,580.0
11,13.0
11,728.0
11,
11,
11,
11,275.0
12,570.0
12,508.0
12,899.0
12,674.0
12,631.0
12,
12,28.0
12,621.0
12,305.0
12,597.0
12,582.0
12,
12,699.0
12,
12,429.0
12,
12,1051.0
12,366.0
12,213.0
12,655.0
12,72.0
12,447.0
12,
12,223.0
12,493.0
12,511.0
12,890.0
12,252.0
12,320.0
