NPartida,Clube,idSubstituido,idSubstituto
1,Flamengo - RJ,243.0,104.0
1,Flamengo - RJ,966.0,406.0
1,Flamengo - RJ,239.0,986.0
1,Flamengo - RJ,294.0,824.0
1,Flamengo - RJ,,
2,Botafogo - RJ,162.0,620.0
2,Botafogo - RJ,162.0,622.0
2,Botafogo - RJ,,658.0
2,Botafogo - RJ,503.0,749.0
2,Botafogo - RJ,584.0,
2,Botafogo - RJ,852.0,
2,São Paulo - SP,1038.0,312.0
2,São Paulo - SP,443.0,800.0
2,São Paulo - SP,912.0,38.0
2,São Paulo - SP,642.0,169.0
3,Palmeiras - SP,223.0,
3,Palmeiras - SP,511.0,252.0
3,Palmeiras - SP,72.0,85.0
3,Palmeiras - SP,509.0,655.0
3,Palmeiras - SP,320.0,890.0
3,Cuiabá Saf - MT,419.0,718.0
3,Cuiabá Saf - MT,499.0,790.0
3,Cuiabá Saf - MT,179.0,281.0
3,Cuiabá Saf - MT,221.0,416.0
3,Cuiabá Saf - MT,,
4,Corinthians - SP,,
4,Corinthians - SP,741.0,251.0
4,Corinthians - SP,258.0,
4,Corinthians - SP,334.0,724.0
4,Corinthians - SP,924.0,983.0
4,Cruzeiro Saf - MG,710.0,846.0
4,Cruzeiro Saf - MG,1048.0,761.0
4,Cruzeiro Saf - MG,859.0,666.0
5,Red Bull Bragantino - SP,23.0,206.0
5,Red Bull Bragantino - SP,578.0,209.0
5,Red Bull Bragantino - SP,950.0,382.0
5,Red Bull Bragantino - SP,402.0,376.0
5,Red Bull Bragantino - SP,425.0,619.0
6,Atlético Mineiro - MG,149.0,413.0
6,Atlético Mineiro - MG,795.0,200.0
6,Atlético Mineiro - MG,394.0,841.0
6,Atlético Mineiro - MG,880.0,695.0
6,Atlético Mineiro - MG,931.0,804.0
6,Vasco da Gama S.a.f. - RJ,,139.0
6,Vasco da Gama S.a.f. - RJ,630.0,
6,Vasco da Gama S.a.f. - RJ,631.0,
6,Vasco da Gama S.a.f. - RJ,305.0,621.0
6,Vasco da Gama S.a.f. - RJ,429.0,
6,Vasco da Gama S.a.f. - RJ,28.0,699.0
7,Grêmio - RS,,240.0
7,Grêmio - RS,288.0,778.0
7,Grêmio - RS,288.0,782.0
7,Grêmio - RS,471.0,
7,Grêmio - RS,472.0,
7,Grêmio - RS,748.0,
7,Grêmio - RS,657.0,53.0
7,Santos - SP,,
7,Santos - SP,195.0,99.0
7,Santos - SP,344.0,907.0
7,Santos - SP,603.0,1064.0
7,Santos - SP,632.0,766.0
8,Athletico Paranaense - PR,1016.0,1022.0
8,Athletico Paranaense - PR,393.0,228.0
8,Athletico Paranaense - PR,918.0,
8,Athletico Paranaense - PR,831.0,
8,Athletico Paranaense - PR,,962.0
8,Goiás - GO,671.0,
8,Goiás - GO,,
8,Goiás - GO,242.0,343.0
8,Goiás - GO,,844.0
8,Goiás - GO,185.0,1056.0
9,Fortaleza - CE,112.0,383.0
9,Fortaleza - CE,522.0,947.0
9,Fortaleza - CE,,341.0
9,Fortaleza - CE,121.0,336.0
9,Fortaleza - CE,963.0,977.0
9,Internacional - RS,18.0,133.0
9,Internacional - RS,830.0,435.0
9,Internacional - RS,1032.0,638.0
9,Internacional - RS,405.0,919.0
9,Internacional - RS,458.0,354.0
9,Internacional - RS,458.0,364.0
10,America Saf - MG,236.0,11.0
10,America Saf - MG,262.0,740.0
10,America Saf - MG,,1037.0
10,America Saf - MG,395.0,886.0
10,America Saf - MG,562.0,625.0
10,Fluminense - RJ,324.0,687.0
10,Fluminense - RJ,,561.0
10,Fluminense - RJ,34.0,145.0
10,Fluminense - RJ,810.0,961.0
10,Fluminense - RJ,682.0,168.0
11,Fluminense - RJ,272.0,1024.0
11,Fluminense - RJ,324.0,494.0
11,Fluminense - RJ,810.0,561.0
11,Fluminense - RJ,687.0,
11,Fluminense - RJ,1003.0,961.0
11,Athletico Paranaense - PR,277.0,1016.0
11,Athletico Paranaense - PR,962.0,918.0
11,Athletico Paranaense - PR,228.0,143.0
11,Athletico Paranaense - PR,976.0,1022.0
11,Athletico Paranaense - PR,,393.0
12,Vasco da Gama S.a.f. - RJ,899.0,674.0
12,Vasco da Gama S.a.f. - RJ,28.0,621.0
12,Vasco da Gama S.a.f. - RJ,305.0,597.0
12,Vasco da Gama S.a.f. - RJ,,699.0
12,Vasco da Gama S.a.f. - RJ,429.0,
12,Palmeiras - SP,213.0,655.0
12,Palmeiras - SP,72.0,447.0
12,Palmeiras - SP,,223.0
12,Palmeiras - SP,890.0,252.0
12,Palmeiras - SP,320.0,509.0
13,São Paulo - SP,808.0,115.0
13,São Paulo - SP,765.0,1038.0
13,São Paulo - SP,642.0,691.0
13,São Paulo - SP,596.0,312.0
13,São Paulo - SP,912.0,38.0
13,America Saf - MG,740.0,262.0
13,America Saf - MG,562.0,
13,America Saf - MG,46.0,1037.0
13,America Saf - MG,236.0,11.0
13,America Saf - MG,,683.0
14,Santos - SP,,766.0
14,Santos - SP,,590.0
14,Santos - SP,689.0,99.0
14,Santos - SP,,301.0
14,Atlético Mineiro - MG,200.0,149.0
14,Atlético Mineiro - MG,931.0,210.0
14,Atlético Mineiro - MG,394.0,804.0
14,Atlético Mineiro - MG,880.0,695.0
14,Atlético Mineiro - MG,803.0,441.0
15,Goiás - GO,,662.0
15,Goiás - GO,526.0,
15,Goiás - GO,,
15,Corinthians - SP,334.0,510.0
15,Corinthians - SP,,
15,Corinthians - SP,105.0,924.0
15,Corinthians - SP,258.0,760.0
15,Corinthians - SP,,827.0
15,Corinthians - SP,,832.0
16,Cruzeiro Saf - MG,,
16,Cruzeiro Saf - MG,710.0,
16,Cruzeiro Saf - MG,859.0,666.0
16,Cruzeiro Saf - MG,761.0,846.0
16,Grêmio - RS,,240.0
16,Grêmio - RS,,53.0
16,Grêmio - RS,288.0,355.0
16,Grêmio - RS,288.0,363.0
16,Grêmio - RS,778.0,657.0
16,Grêmio - RS,782.0,657.0
17,Internacional - RS,1032.0,435.0
17,Internacional - RS,830.0,756.0
17,Internacional - RS,,660.0
17,Internacional - RS,354.0,
17,Internacional - RS,364.0,
17,Internacional - RS,458.0,133.0
17,Flamengo - RJ,581.0,904.0
17,Flamengo - RJ,,243.0
17,Flamengo - RJ,239.0,
17,Flamengo - RJ,824.0,
18,Fortaleza - CE,947.0,336.0
18,Fortaleza - CE,121.0,
18,Fortaleza - CE,341.0,515.0
18,Fortaleza - CE,383.0,628.0
18,Fortaleza - CE,977.0,1004.0
19,Botafogo - RJ,620.0,162.0
19,Botafogo - RJ,622.0,162.0
19,Botafogo - RJ,9.0,843.0
19,Botafogo - RJ,161.0,701.0
19,Botafogo - RJ,503.0,749.0
19,Botafogo - RJ,485.0,658.0
20,Cuiabá Saf - MT,,499.0
20,Cuiabá Saf - MT,175.0,920.0
20,Cuiabá Saf - MT,175.0,923.0
20,Cuiabá Saf - MT,221.0,1036.0
20,Cuiabá Saf - MT,179.0,416.0
20,Cuiabá Saf - MT,861.0,281.0
20,Red Bull Bragantino - SP,730.0,967.0
20,Red Bull Bragantino - SP,376.0,694.0
20,Red Bull Bragantino - SP,368.0,226.0
20,Red Bull Bragantino - SP,382.0,402.0
20,Red Bull Bragantino - SP,619.0,425.0
21,Flamengo - RJ,243.0,104.0
21,Flamengo - RJ,1049.0,
21,Flamengo - RJ,,986.0
21,Flamengo - RJ,966.0,
21,Flamengo - RJ,75.0,239.0
21,Botafogo - RJ,129.0,701.0
21,Botafogo - RJ,162.0,843.0
21,Botafogo - RJ,503.0,584.0
21,Botafogo - RJ,485.0,658.0
22,Vasco da Gama S.a.f. - RJ,28.0,
22,Vasco da Gama S.a.f. - RJ,699.0,597.0
22,Vasco da Gama S.a.f. - RJ,,
22,Vasco da Gama S.a.f. - RJ,305.0,229.0
22,Vasco da Gama S.a.f. - RJ,429.0,
23,Palmeiras - SP,862.0,447.0
23,Palmeiras - SP,72.0,
23,Palmeiras - SP,762.0,356.0
23,Palmeiras - SP,511.0,890.0
23,Palmeiras - SP,925.0,
23,Corinthians - SP,,510.0
23,Corinthians - SP,59.0,334.0
23,Corinthians - SP,1068.0,330.0
23,Corinthians - SP,,257.0
23,Corinthians - SP,258.0,760.0
24,Santos - SP,632.0,37.0
24,Santos - SP,,301.0
24,Santos - SP,495.0,
24,Santos - SP,195.0,199.0
24,Santos - SP,1064.0,
24,America Saf - MG,740.0,262.0
24,America Saf - MG,5.0,164.0
24,America Saf - MG,46.0,768.0
24,America Saf - MG,700.0,
24,America Saf - MG,706.0,562.0
25,Red Bull Bragantino - SP,646.0,967.0
25,Red Bull Bragantino - SP,376.0,382.0
25,Red Bull Bragantino - SP,694.0,502.0
25,Red Bull Bragantino - SP,730.0,368.0
25,Cruzeiro Saf - MG,710.0,
25,Cruzeiro Saf - MG,761.0,846.0
25,Cruzeiro Saf - MG,641.0,737.0
25,Cruzeiro Saf - MG,388.0,
26,Atlético Mineiro - MG,200.0,903.0
26,Atlético Mineiro - MG,394.0,804.0
26,Atlético Mineiro - MG,880.0,695.0
26,Atlético Mineiro - MG,441.0,94.0
26,Atlético Mineiro - MG,813.0,931.0
26,Athletico Paranaense - PR,228.0,1016.0
26,Athletico Paranaense - PR,918.0,799.0
