NPartida,Time,Substituido,Substituto
1,Flamengo - RJ,Everton,Bruno Henrique
1,Flamengo - RJ,Thiago Maia,Igor Jesus
1,Flamengo - RJ,Éverton Ribeiro,Victor Hugo
1,Flamengo - RJ,Gabriel Barbosa,Pedro
1,Flamengo - RJ,Matheus França,Marinho
2,Botafogo - RJ,Tche Tche,Lucas
2,Botafogo - RJ,Gustavo,Luis Henrique
2,Botafogo - RJ,Junior,Matias Segovia
2,Botafogo - RJ,Di Placido,Luis Segovia
2,Botafogo - RJ,Rafael,Daniel Borges
2,São Paulo - SP,Wellington Rato,Gabriel Neves
2,São Paulo - SP,Sebastian Mendez,Pablo
2,São Paulo - SP,Rodrigo Nestor,Alisson
2,São Paulo - SP,Luciano,David
3,Palmeiras - SP,Endrick,Rafael Navarro
3,Palmeiras - SP,Ze Rafael,Fabinho
3,Palmeiras - SP,Artur,Breno
3,Palmeiras - SP,Lopez,Luis Guilherme
3,Palmeiras - SP,Gabriel Menino,Richard Rios
3,Cuiabá Saf - MT,Patric,Matheus Alexandre
3,Cuiabá Saf - MT,Cafu,Nicolas
3,Cuiabá Saf - MT,Deyverson,Fernando
3,Cuiabá Saf - MT,Emerson,PITTA
3,Cuiabá Saf - MT,Pablo Ceppelini Gatto,Rafael Gava
4,Corinthians - SP,Chrystian,Adson
4,Corinthians - SP,Matheus Bidu,Fabio Santos
4,Corinthians - SP,Fausto,Eduardo Santos Queiroz
4,Corinthians - SP,Giuliano,Matheus Araujo
4,Corinthians - SP,Roni,Cantillo
4,Cruzeiro Saf - MG,Mateus,Bilu
4,Cruzeiro Saf - MG,Wesley Ribeiro Silva,Nikao
4,Cruzeiro Saf - MG,Ramiro,Filipe Machado
5,Red Bull Bragantino - SP,Alerrandro,Eduardo Sasha
5,Red Bull Bragantino - SP,Léo Realpe,Eduardo
5,Red Bull Bragantino - SP,Talisson,Henry Mosquera
5,Red Bull Bragantino - SP,Nacho Laquintana,Helinho
5,Red Bull Bragantino - SP,Jadsom Silva,Evangelista
6,Atlético Mineiro - MG,Pavon,Isaac
6,Atlético Mineiro - MG,Otavio,Edenilson
6,Atlético Mineiro - MG,Hyoran,Pedrinho
6,Atlético Mineiro - MG,Renzo Saravia,Mariano
6,Atlético Mineiro - MG,Rubens,Patrick
6,Vasco da Gama S.a.f. - RJ,Andrey Santos,Barros
6,Vasco da Gama S.a.f. - RJ,Lucas Piton,Paulo Victor
6,Vasco da Gama S.a.f. - RJ,Gabriel Pec,Figueiredo
6,Vasco da Gama S.a.f. - RJ,Jair,Matias Galarza
6,Vasco da Gama S.a.f. - RJ,Alex Teixeira,Marlon Gomes
7,Grêmio - RS,Vina,Galdino
7,Grêmio - RS,Cristaldo,Nathan
7,Grêmio - RS,Joao Pedro,Thomas Luciano
7,Grêmio - RS,Villasanti,Darlan
7,Grêmio - RS,Zinho,Andre
7,Santos - SP,Daniel Ruiz,Ângelo
7,Santos - SP,Dodi,Bruno Mezenga
7,Santos - SP,Camacho,Rodrigo
7,Santos - SP,Lucas,Yeferson Soteldo
7,Santos - SP,Lucas Lima,Miguel
8,Athletico Paranaense - PR,Vitor Bueno,Vitor Roque
8,Athletico Paranaense - PR,Hugo Moura,Erick
8,Athletico Paranaense - PR,Romulo,Reinaldo
8,Athletico Paranaense - PR,Pedro Henrique,Ze Ivaldo
8,Athletico Paranaense - PR,Cittadini,Thiago
8,Goiás - GO,Magno Jose,Matheus
8,Goiás - GO,Zé Ricardo,Jhonny
8,Goiás - GO,Morelli,Guilherme
8,Goiás - GO,Matheus Peixoto,Philippe
8,Goiás - GO,Diego,Willian Oliveira
9,Fortaleza - CE,Caio,HERCULES
9,Fortaleza - CE,Lucero,Silvio Romero
9,Fortaleza - CE,Moises,Guilherme Augusto
9,Fortaleza - CE,Calebe,Yago
9,Fortaleza - CE,Thiago Galhardo,Pochettino
9,Internacional - RS,Alan Patrick,Carlos de Pena
9,Internacional - RS,Pedro,Jean Dias
9,Internacional - RS,WANDERSON,Lucca
9,Internacional - RS,Igor Gomes,Romulo
9,Internacional - RS,Joao Lucas,Gustavo
10,America Saf - MG,Everaldo,ADYSON
10,America Saf - MG,Felipe Azevedo,Matheusinho
10,America Saf - MG,H. Almeida,Wellington Paulista
10,America Saf - MG,Iago,Ricardo Silva
10,America Saf - MG,Emmanuel Martinez,Lucas
10,Fluminense - RJ,German Cano,Keno
10,Fluminense - RJ,Gabriel Pirani,Lelê
10,Fluminense - RJ,Alexsander,Guga
10,Fluminense - RJ,PH GANSO,Thiago Santos
10,Fluminense - RJ,Nino,David Braz
11,Fluminense - RJ,Felipe Melo,Vitor Mendes
11,Fluminense - RJ,German Cano,John Kennedy
11,Fluminense - RJ,PH GANSO,Lelê
11,Fluminense - RJ,Keno,Gabriel Pirani
11,Fluminense - RJ,Lima,Thiago Santos
11,Athletico Paranaense - PR,Fernandinho,Vitor Bueno
11,Athletico Paranaense - PR,Thiago,Romulo
11,Athletico Paranaense - PR,Erick,Christian
11,Athletico Paranaense - PR,Cuello,Vitor Roque
11,Athletico Paranaense - PR,Cittadini,Hugo Moura
12,Vasco da Gama S.a.f. - RJ,Robson,Capasso
12,Vasco da Gama S.a.f. - RJ,Alex Teixeira,Figueiredo
12,Vasco da Gama S.a.f. - RJ,Gabriel Pec,Orellano
12,Vasco da Gama S.a.f. - RJ,Rodrigo,Marlon Gomes
12,Vasco da Gama S.a.f. - RJ,Jair,Matias Galarza
12,Palmeiras - SP,Dudu,Luis Guilherme
12,Palmeiras - SP,Artur,Jhon Jhon
12,Palmeiras - SP,Rafael Navarro,Endrick
12,Palmeiras - SP,Richard Rios,Fabinho
12,Palmeiras - SP,Gabriel Menino,Lopez
13,São Paulo - SP,Patryck,Caio Paulista
13,São Paulo - SP,Michel Araujo,Wellington Rato
13,São Paulo - SP,Luciano,Marcos Paulo
13,São Paulo - SP,Luan Silva,Gabriel Neves
13,São Paulo - SP,Rodrigo Nestor,Alisson
13,America Saf - MG,Matheusinho,Felipe Azevedo
13,America Saf - MG,Emmanuel Martinez,H. Almeida
13,America Saf - MG,Aloisio,Wellington Paulista
13,America Saf - MG,Everaldo,ADYSON
13,America Saf - MG,Nino Paraiba,Marcinho
14,Santos - SP,Ângelo,Miguel
14,Santos - SP,Daniel Ruiz,Luan
14,Santos - SP,Marcos Leonardo,Bruno Mezenga
14,Santos - SP,Nathan,Gabriel
14,Atlético Mineiro - MG,Edenilson,Pavon
14,Atlético Mineiro - MG,Rubens,Vargas
14,Atlético Mineiro - MG,Hyoran,Patrick
14,Atlético Mineiro - MG,Renzo Saravia,Mariano
14,Atlético Mineiro - MG,Muricio Lemos,Jemerson
15,Goiás - GO,Zé Ricardo,Apodi
15,Goiás - GO,Julian,Jhonny
15,Goiás - GO,Matheus Peixoto,Matheus
15,Corinthians - SP,Giuliano,Paulinho
15,Corinthians - SP,Balbuena,Aluisio
15,Corinthians - SP,Bruno Mendez,Roni
15,Corinthians - SP,Fausto,Maycon
15,Corinthians - SP,Chrystian,Pedrinho
16,Cruzeiro Saf - MG,Richard,Neto
16,Cruzeiro Saf - MG,Mateus,Wallisson
16,Cruzeiro Saf - MG,Ramiro,Filipe Machado
16,Cruzeiro Saf - MG,Nikao,Bilu
16,Grêmio - RS,Lucas Silva,Galdino
16,Grêmio - RS,Vina,Andre
16,Grêmio - RS,Cristaldo,Gustavo
16,Grêmio - RS,Nathan,Zinho
17,Internacional - RS,WANDERSON,Jean Dias
17,Internacional - RS,Pedro,Mauricio
17,Internacional - RS,Alexandre,Luiz Adriano
17,Internacional - RS,Gustavo,Gabriel  Baralhas
17,Internacional - RS,Joao Lucas,Carlos de Pena
17,Flamengo - RJ,Leo Pereira,Rodrigo Caio
17,Flamengo - RJ,VIDAL,Everton
17,Flamengo - RJ,Éverton Ribeiro,Matheus França
17,Flamengo - RJ,Pedro,Marinho
18,Fortaleza - CE,Silvio Romero,Yago
18,Fortaleza - CE,Calebe,Moises
18,Fortaleza - CE,Guilherme Augusto,Romarinho
18,Fortaleza - CE,HERCULES,Lucas
18,Fortaleza - CE,Pochettino,Zanocelo
19,Botafogo - RJ,Lucas,Tche Tche
19,Botafogo - RJ,Adryelson,Philipe
19,Botafogo - RJ,Danilo,Marlon Freitas
19,Botafogo - RJ,Junior,Matias Segovia
19,Botafogo - RJ,Joao Victor,Luis Henrique
20,Cuiabá Saf - MT,Iury,Cafu
20,Cuiabá Saf - MT,Denilson,Ronald
20,Cuiabá Saf - MT,Emerson,Wellington Silva
20,Cuiabá Saf - MT,Deyverson,PITTA
20,Cuiabá Saf - MT,Raniele,Fernando
20,Red Bull Bragantino - SP,Matheus Fernandes,Thiago Borbas
20,Red Bull Bragantino - SP,Helinho,Sorriso
20,Red Bull Bragantino - SP,Gustavinho,Eric Ramires
20,Red Bull Bragantino - SP,Henry Mosquera,Nacho Laquintana
20,Red Bull Bragantino - SP,Evangelista,Jadsom Silva
21,Flamengo - RJ,Everton,Bruno Henrique
21,Flamengo - RJ,Wesley,Marinho
21,Flamengo - RJ,VIDAL,Victor Hugo
21,Flamengo - RJ,Thiago Maia,Matheus França
21,Flamengo - RJ,Ayrton Lucas,Éverton Ribeiro
21,Botafogo - RJ,Carlos,Marlon Freitas
21,Botafogo - RJ,Tche Tche,Philipe
21,Botafogo - RJ,Junior,Di Placido
21,Botafogo - RJ,Joao Victor,Luis Henrique
22,Vasco da Gama S.a.f. - RJ,Alex Teixeira,Carabajal
22,Vasco da Gama S.a.f. - RJ,Marlon Gomes,Orellano
22,Vasco da Gama S.a.f. - RJ,Andrey Santos,Rodrigo
22,Vasco da Gama S.a.f. - RJ,Gabriel Pec,Erick Marcus
22,Vasco da Gama S.a.f. - RJ,Jair,Rwan
23,Palmeiras - SP,Raphael Veiga,Jhon Jhon
23,Palmeiras - SP,Artur,Giovani
23,Palmeiras - SP,Mayke,Gustavo Garcia
23,Palmeiras - SP,Ze Rafael,Richard Rios
23,Palmeiras - SP,Rony,Rafael Navarro
23,Corinthians - SP,Adson,Paulinho
23,Corinthians - SP,Angel Romero,Giuliano
23,Corinthians - SP,Yuri Alberto,Giovane Nascimento
23,Corinthians - SP,Eduardo Santos Queiroz,Fagner
23,Corinthians - SP,Fausto,Maycon
